Date,Price,Open,High,Low,Vol.,Change %
1/4/2021,42.52,43.93,44.22,42.12,24.17M,-2.88%
1/5/2021,42.81,42.51,42.94,42.24,15.07M,0.68%
1/6/2021,42.55,42.33,43.46,42.05,17.23M,-0.61%
1/7/2021,44.34,43.21,44.46,43.06,21.27M,4.21%
1/8/2021,44.56,44.7,45,43.86,15.27M,0.50%
1/11/2021,44.58,44.06,44.88,44.04,11.66M,0.04%
1/12/2021,44.94,44.78,45.48,44.56,13.85M,0.81%
1/13/2021,45.12,45.03,45.35,44.81,13.12M,0.40%
1/14/2021,45.21,45.35,45.85,45.13,19.69M,0.20%
1/15/2021,44.59,44.82,45,44.07,18.17M,-1.37%
1/19/2021,45.93,44.83,45.95,44.83,18.82M,3.01%
1/20/2021,46.19,45.95,46.58,45.5,14.71M,0.57%
1/21/2021,46.68,46.21,46.95,46.04,15.75M,1.06%
1/22/2021,46.5,46.37,46.76,46.24,16.25M,-0.39%
1/25/2021,46.48,46.96,47,45.61,14.69M,-0.04%
1/26/2021,46.39,46.27,46.7,46.19,10.74M,-0.19%
1/27/2021,44.47,45.55,45.7,44.15,21.86M,-4.14%
1/28/2021,45.17,45.55,45.85,44.7,16.95M,1.57%
1/29/2021,45.05,44.99,45.81,44.76,22.07M,-0.27%
2/1/2021,46.67,45.59,46.93,45.36,17.03M,3.60%
2/2/2021,47.69,46.98,47.7,46.8,16.14M,2.19%
2/3/2021,46.52,47.69,47.85,46.46,17.86M,-2.45%
2/4/2021,47.06,46,47.12,45.75,15.24M,1.16%
2/5/2021,46.6,47.43,47.69,46.54,12.49M,-0.98%
2/8/2021,47.27,46.88,47.34,46.56,17.61M,1.44%
2/9/2021,47.46,47.2,47.52,46.86,12.76M,0.40%
2/10/2021,47.01,47.72,47.75,46.55,14.59M,-0.95%
2/11/2021,47.84,47.37,47.94,46.92,17.12M,1.77%
2/12/2021,48.63,47.84,48.7,47.49,13.55M,1.65%
2/16/2021,48.91,49.09,49.48,48.7,15.16M,0.58%
2/17/2021,48.25,48.42,48.61,47.51,14.09M,-1.35%
2/18/2021,48.33,48.02,48.54,47.51,16.71M,0.17%
2/19/2021,49,48.73,49.51,48.68,17.99M,1.39%
2/22/2021,47.64,48.4,48.66,47.53,16.97M,-2.78%
2/23/2021,47.19,47.11,47.46,45.61,21.31M,-0.94%
2/24/2021,48.09,46.77,48.14,46.27,15.13M,1.91%
2/25/2021,45.72,47.48,47.94,45.52,23.15M,-4.93%
2/26/2021,46.99,46.75,47.58,46.07,22.64M,2.78%
3/1/2021,48.96,47.97,49,47.39,24.68M,4.19%
3/2/2021,48.05,49.04,49.09,47.96,18.55M,-1.86%
3/3/2021,46.31,47.8,48.14,46.2,23.99M,-3.62%
3/4/2021,44.36,46.17,46.7,44.14,34.57M,-4.21%
3/5/2021,45.01,45.42,45.6,43.3,42.41M,1.47%
3/8/2021,42.12,44.68,44.8,41.93,45.24M,-6.42%
3/9/2021,44.36,43.57,44.69,43.06,37.88M,5.32%
3/10/2021,43.76,44.73,45.4,43.51,19.91M,-1.35%
3/11/2021,45.37,44.9,45.74,44.21,26.17M,3.68%
3/12/2021,45.12,44.54,45.35,44.45,18.91M,-0.55%
3/15/2021,47.08,45.52,47.12,45.32,31.30M,4.34%
3/16/2021,47.82,47.13,48.4,46.74,31.19M,1.57%
3/17/2021,48.36,47.03,48.73,47,23.75M,1.13%
