Date,Price,Open,High,Low,Vol.,Change %
1/4/2021,86.41,87.88,88.03,85.39,38.04M,-1.35%
1/5/2021,87.05,86.25,87.38,85.9,22.91M,0.74%
1/6/2021,86.76,85.13,87.4,84.95,52.04M,-0.33%
1/7/2021,89.36,87,89.42,86.85,45.30M,3.00%
1/8/2021,90.36,89.4,90.49,88.68,41.02M,1.12%
1/11/2021,88.34,89.3,89.72,88.03,24.19M,-2.24%
1/12/2021,87.33,87.7,88.9,86.27,27.15M,-1.14%
1/13/2021,87.72,86.93,88.25,86.9,21.88M,0.45%
1/14/2021,87.01,87.68,88.75,86.67,23.59M,-0.81%
1/15/2021,86.81,86.91,87.8,86.08,26.84M,-0.23%
1/19/2021,89.54,87.61,90.46,87.07,34.69M,3.14%
1/20/2021,94.34,91.57,95.19,91.28,49.81M,5.36%
1/21/2021,94.56,94.9,96.74,94.36,41.28M,0.23%
1/22/2021,95.05,94.78,95.55,94.09,25.44M,0.52%
1/25/2021,94.97,96.03,96.48,93.38,38.55M,-0.08%
1/26/2021,95.86,94.44,96.25,94.21,26.26M,0.94%
1/27/2021,91.54,94.13,94.5,90.45,54.97M,-4.51%
1/28/2021,93.16,92.2,94.94,92.13,35.46M,1.77%
1/29/2021,91.79,92.31,92.86,90.51,32.25M,-1.47%
2/1/2021,95.07,92.68,96.12,92.55,32.04M,3.57%
2/2/2021,96.38,96.13,97.79,95.72,45.47M,1.38%
2/3/2021,103.5,103.65,105.83,100.92,82.36M,7.39%
2/4/2021,103.12,103.44,103.93,102.13,37.05M,-0.37%
2/5/2021,104.9,103.5,105.13,102.97,30.70M,1.73%
2/8/2021,104.65,105.3,106.18,103.6,24.85M,-0.24%
2/9/2021,104.18,103.93,105.26,103.93,17.80M,-0.45%
2/10/2021,104.77,104.71,105.42,103.15,22.71M,0.57%
2/11/2021,104.79,104.98,105.1,103.87,18.91M,0.02%
2/12/2021,105.21,104.51,105.44,104.16,17.12M,0.40%
2/16/2021,106.09,105.22,107.63,105.22,22.68M,0.84%
2/17/2021,106.42,105,106.68,104.95,21.42M,0.31%
2/18/2021,105.86,105.52,106.64,105.19,22.44M,-0.53%
2/19/2021,105.06,105.96,106.53,104.87,29.15M,-0.76%
2/22/2021,103.24,103.35,104.57,103.11,27.35M,-1.73%
2/23/2021,103.54,101.25,104.1,100.1,33.35M,0.29%
2/24/2021,104.76,102.09,105.04,101.91,24.97M,1.18%
2/25/2021,101.57,103.37,104.74,101.06,36.57M,-3.05%
2/26/2021,101.84,102.53,103.55,100.8,41.68M,0.27%
3/1/2021,104.08,102.83,104.33,102.31,28.10M,2.20%
3/2/2021,103.79,103.81,105.22,103.56,22.69M,-0.28%
