Date,Price,Open,High,Low,Vol.,Change %
1/4/2021,268.94,274.78,275,265.2,15.11M,-1.54%
1/5/2021,270.97,268.29,272.4,268.21,9.87M,0.75%
1/6/2021,263.31,262,267.75,260.01,24.35M,-2.83%
1/7/2021,268.74,265.9,271.61,264.78,15.79M,2.06%
1/8/2021,267.57,268.31,268.95,263.18,18.53M,-0.44%
1/11/2021,256.84,260.48,263.47,255.9,30.41M,-4.01%
1/12/2021,251.09,256.63,259.72,250.3,26.45M,-2.24%
1/13/2021,251.64,251.55,253.95,249.2,19.53M,0.22%
1/14/2021,245.64,253.4,255.03,244.61,29.74M,-2.38%
1/15/2021,251.36,247.9,253.86,247.16,24.94M,2.33%
1/19/2021,261.1,256.9,262.2,252.72,28.03M,3.87%
1/20/2021,267.48,268.93,270.32,263.6,25.20M,2.44%
1/21/2021,272.87,269.26,273.6,267.49,20.84M,2.02%
1/22/2021,274.5,272.01,278.47,272,21.95M,0.60%
1/25/2021,278.01,278.14,280.1,271.51,19.09M,1.28%
1/26/2021,282.05,278.14,285.39,277.81,19.37M,1.45%
1/27/2021,272.14,282.53,283.45,268.12,35.35M,-3.51%
1/28/2021,265,277.18,286.79,264.7,37.76M,-2.62%
1/29/2021,258.33,265.3,266.56,254.85,30.39M,-2.52%
2/1/2021,262.01,259.52,264.17,254.91,22.91M,1.42%
2/2/2021,267.08,264,268.85,263.27,17.32M,1.94%
2/3/2021,266.65,265.62,269.2,263.84,14.22M,-0.16%
2/4/2021,266.49,267.01,268.16,264,16.06M,-0.06%
2/5/2021,268.1,266.8,269.17,265.67,12.45M,0.60%
2/8/2021,266.58,268.75,269.86,265,13.76M,-0.57%
2/9/2021,269.45,266.44,273.39,265.75,14.61M,1.08%
2/10/2021,271.87,272.45,273.8,267.72,14.69M,0.90%
2/11/2021,270.39,271.89,273.58,268.49,12.83M,-0.54%
2/12/2021,270.5,270.52,271.18,268.34,9.10M,0.04%
2/16/2021,273.97,270.8,276.6,270.05,15.42M,1.28%
2/17/2021,273.57,271.24,273.97,269.58,12.76M,-0.15%
